District,State,Prant
Kondagaon , Chhattisgarh , Chhattisgarh Prant
Koppal , Karnataka , Karnataka Prant
Koraput , Odisha , OD-Pashchim Prant
Korba , Chhattisgarh , Chhattisgarh Prant
Koriya , Chhattisgarh , Chhattisgarh Prant
Kota , Rajasthan , RJ-Chittor Prant
Kotputli Behror , Rajasthan , RJ-Jaipur prant
Kottayam , Kerala , Kerala Prant
Kozhikode , Kerala , Kerala Prant
Kra Daadi , Arunachal Pradesh , Arunachal Pradesh Prant
Krishna , Andhra Pradesh , Andhra Pradesh Prant
Krishnagiri , Tamil Nadu , TN-Uttar Prant
Kulgam , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Kullu , Himachal Pradesh , Himachal Prant
Kupwara , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Kurnool , Andhra Pradesh , Andhra Pradesh Prant
Kurukshetra , Haryana , Haryana Prant
Kurung Kumey , Arunachal Pradesh , Arunachal Pradesh Prant
Kushinagar , Uttar Pradesh , UP-Goraksha Prant
Kutch , Gujarat , Gujarat Prant
Lahaul Spiti , Himachal Pradesh , Himachal Prant
Lakhimpur , Assam , Assam Prant
Lakhisarai , Bihar , BR-Uttar Prant
Lakshadweep , Lakshadweep (UT) , Lakshadweep Prant
Lalitpur , Uttar Pradesh , UP-Kanpur Prant
Latehar , Jharkhand , Jharkhand Prant
Latur , Maharashtra , MH-Devgiri Prant
Lawngtlai , Mizoram , Mizoram Prant 
Leh , Ladakh (UT) , Ladakh Prant
Lepa Rada , Arunachal Pradesh , Arunachal Pradesh Prant
Lohardaga , Jharkhand , Jharkhand Prant
Lohit , Arunachal Pradesh , Arunachal Pradesh Prant
Longding , Arunachal Pradesh , Arunachal Pradesh Prant
Longleng , Nagaland , Nagaland Prant
Lower Dibang Valley , Arunachal Pradesh , Arunachal Pradesh Prant
Lower Siang , Arunachal Pradesh , Arunachal Pradesh Prant
Lower Subansiri , Arunachal Pradesh , Arunachal Pradesh Prant
Lucknow , Uttar Pradesh , UP-Awadh Prant
Ludhiana , Punjab , Punjab Prant
Lunglei , Mizoram , Mizoram Prant 
Madhepura , Bihar , BR-Uttar Prant
Madhubani , Bihar , BR-Uttar Prant
Madurai , Tamil Nadu , TN-Dakshin Prant
Mahabubabad , Telangana , Telangana Prant
Maharajganj , Uttar Pradesh , UP-Goraksha Prant
Mahasamund , Chhattisgarh , Chhattisgarh Prant
Mahbubnagar , Telangana , Telangana Prant
Mahe , Puducherry (UT) , Puducherry Prant
Mahendragarh , Haryana , Haryana Prant
Mahisagar , Gujarat , Gujarat Prant
Mahoba , Uttar Pradesh , UP-Kanpur Prant
Maihar , Madhya Pradesh , MP-Mahakaushal Prant
Mainpuri , Uttar Pradesh , UP-Bruj Prant
Mairang , Meghalaya , Meghalaya Prant
Majuli , Assam , Assam Prant
Malappuram , Kerala , Kerala Prant
Malda , West Bengal , West Bengal Prant
Malerkotla , Punjab , Punjab Prant
Malkangiri , Odisha , OD-Pashchim Prant
Mamit , Mizoram , Mizoram Prant 
Mandi , Himachal Pradesh  , Himachal Prant
Mandla , Madhya Pradesh , MP-Mahakaushal Prant
Mandsaur , Madhya Pradesh , MP-Malwa Prant
Mandya , Karnataka , Karnataka Prant
Manendragarh , Chhattisgarh , Chhattisgarh Prant
Mansa , Punjab , Punjab Prant
Manyam , Andhra Pradesh , Andhra Pradesh Prant
Mathura , Uttar Pradesh , UP-Bruj Prant
Mau , Uttar Pradesh , UP-Goraksha Prant
Mayiladuthurai  , Tamil Nadu , TN-Dakshin Prant
Mayurbhanj , Odisha , OD-Purba Prant
Medak , Telangana , Telangana Prant
Medchal , Telangana , Telangana Prant
Meerut , Uttar Pradesh , UP-Meerut Prant
Mehsana , Gujarat , Gujarat Prant
Mewat , Haryana , Haryana Prant
Mirzapur , Uttar Pradesh , UP-Kashi Prant
Moga , Punjab , Punjab Prant
Mohali , Punjab , Punjab Prant
Mohla Manpur , Chhattisgarh , Chhattisgarh Prant
Mokokchung , Nagaland , Nagaland Prant
Mon , Nagaland , Nagaland Prant
Moradabad , Uttar Pradesh , UP-Meerut Prant
Morbi , Gujarat  , Gujarat Prant
Morena , Madhya Pradesh , MP-Madhya Bharat Prant
Morigaon , Assam , Assam Prant
Muktsar , Punjab , Punjab Prant
Mulugu , Telangana , Telangana Prant
Mumbai City , Maharashtra , MH-Konkan Prant
Mumbai Suburban , Maharashtra , MH-Konkan Prant
Mungeli , Chhattisgarh , Chhattisgarh Prant
Munger , Bihar , BR-Dakshin Prant
Murshidabad , West Bengal , West Bengal Prant
Muzaffarnagar , Uttar Pradesh , UP-Meerut Prant
Muzaffarpur , Bihar , BR-Uttar Prant
Mysore , Karnataka , Karnataka Prant
N T Rama Rao , Andhra Pradesh , Andhra Pradesh Prant
Nabarangpur , Odisha , OD-Pashchim Prant
Nadia , West Bengal , West Bengal Prant
Nagaon , Assam , Assam Prant
Nagapattinam , Tamil Nadu , TN-Dakshin Prant
Nagarkurnool , Telangana , Telangana Prant
Nagaur , Rajasthan , RJ-Jodhpur Prant
Nagda , Madhya Pradesh , MP-Malwa Prant
Nagpur , Maharashtra , MH-Vidharbh Prant
Nainital , Uttarakhand , Uttarakhand Prant
Nalanda , Bihar , BR-Uttar Prant
Nalbari , Assam , Assam Prant
Nalgonda , Telangana , Telangana Prant
Namakkal , Tamil Nadu , TN-Uttar Prant
Namsai , Arunachal Pradesh , Arunachal Pradesh Prant
Nanded , Maharashtra , MH-Devgiri Prant
Nandurbar , Maharashtra , MH-Madhya Maharashtra Prant
Nandyal , Andhra Pradesh , Andhra Pradesh Prant
Narayanpet , Telangana , Telangana Prant
Narayanpur , Chhattisgarh , Chhattisgarh Prant
Narmada , Gujarat , Gujarat Prant
Narsinghpur , Madhya Pradesh , MP-Madhya Bharat Prant
Nashik , Maharashtra , MH-Madhya Maharashtra Prant
Navsari , Gujarat , Gujarat Prant
Nawada , Bihar , BR-Dakshin Prant
Nayagarh , Odisha , OD-Purba Prant
Neem ka Thana , Rajasthan , RJ-Jaipur prant
Neemuch , Madhya Pradesh , MP-Malwa Prant
Nellore , Andhra Pradesh , Andhra Pradesh Prant
New Delhi , Delhi (UT) , Delhi Prant
Nicobar , Andaman Nicobar (UT) , Andaman Nicobar Prant
Nilgiris , Tamil Nadu , TN-Dakshin Prant
Nirmal , Telangana , Telangana Prant
Niuland , Nagaland , Nagaland Prant
Niwari , Madhya Pradesh , MP-Mahakaushal Prant
Nizamabad , Telangana , Telangana Prant
Noklak , Nagaland , Nagaland Prant
Noney , Manipur , Manipur Prant
North 24 Parganas , West Bengal , West Bengal Prant
North Delhi , Delhi (UT) , Delhi Prant
North East Delhi , Delhi (UT) , Delhi Prant
North Garo Hills , Meghalaya , Meghalaya Prant
North Goa , Goa , Goa Prant
North Middle Andaman , Andaman Nicobar (UT) , Andaman Nicobar Prant
North Sikkim , Sikkim , Sikkim Prant
North Tripura , Tripura , Tripura Prant
North West Delhi , Delhi (UT) , Delhi Prant
Nuapada , Odisha , OD-Pashchim Prant
Osmanabad , Maharashtra , MH-Devgiri Prant
Pakke Kessang , Arunachal Pradesh , Arunachal Pradesh Prant
Pakur , Jharkhand , Jharkhand Prant
Pakyong , Sikkim , Sikkim Prant
Palakkad , Kerala , Kerala Prant
Palamu , Jharkhand , Jharkhand Prant
Palghar , Maharashtra , MH-Konkan Prant
Pali , Rajasthan , RJ-Jodhpur Prant
Palnadu , Andhra Pradesh , Andhra Pradesh Prant
Palwal , Haryana , Haryana Prant
Panchkula , Haryana , Haryana Prant
Panchmahal , Gujarat , Gujarat Prant
Panipat , Haryana , Haryana Prant
Panna , Madhya Pradesh , MP-Mahakaushal Prant
Papum Pare , Arunachal Pradesh , Arunachal Pradesh Prant
Parbhani , Maharashtra , MH-Devgiri Prant
Paschim Bardhaman , West Bengal , West Bengal Prant
Paschim Medinipur , West Bengal , West Bengal Prant
Patan , Gujarat , Gujarat Prant
Pathanamthitta , Kerala , Kerala Prant
Pathankot , Punjab , Punjab Prant
Patiala , Punjab , Punjab Prant
Patna , Bihar , BR-Dakshin Prant
Pauri , Uttarakhand , Uttarakhand Prant
Peddapalli , Telangana , Telangana Prant
Perambalur , Tamil Nadu , TN-Dakshin Prant
Peren , Nagaland , Nagaland Prant
Phalodi , Rajasthan , RJ-Jodhpur Prant
Phek , Nagaland , Nagaland Prant
Pherzawl , Manipur , Manipur Prant
Pilibhit , Uttar Pradesh , UP-Bruj Prant
Pithoragarh , Uttarakhand , Uttarakhand Prant
Poonch , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Porbandar , Gujarat , Gujarat Prant
Prakasam , Andhra Pradesh , Andhra Pradesh Prant
Pratapgarh , Rajasthan , RJ-Chittor Prant
Pratapgarh , Uttar Pradesh , UP-Kashi Prant
Prayagraj , Uttar Pradesh , UP-Kashi Prant
Puducherry , Puducherry (UT) , Puducherry Prant
Pudukkottai , Tamil Nadu , TN-Dakshin Prant
Pulwama , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Pune , Maharashtra , MH-Madhya Maharashtra Prant
Purba Bardhaman , West Bengal , West Bengal Prant
Purba Medinipur , West Bengal , West Bengal Prant
Puri , Odisha , OD-Purba Prant
Purnia , Bihar , BR-Uttar Prant
Purulia , West Bengal , West Bengal Prant
Raebareli , Uttar Pradesh , UP-Awadh Prant
Raichur , Karnataka , Karnataka Prant
Raigad , Maharashtra , MH-Konkan Prant
Raigarh , Chhattisgarh , Chhattisgarh Prant
Raipur , Chhattisgarh , Chhattisgarh Prant
Raisen , Madhya Pradesh , MP-Madhya Bharat Prant
Rajanna Sircilla , Telangana , Telangana Prant
Rajgarh , Madhya Pradesh , MP-Madhya Bharat Prant
Rajkot , Gujarat , Gujarat Prant
Rajnandgaon , Chhattisgarh , Chhattisgarh Prant
Rajouri , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Rajsamand , Rajasthan , RJ-Chittor Prant
Ramanagara (Bengaluru South Dist) , Karnataka , Karnataka Prant
Ramanathapuram , Tamil Nadu , TN-Dakshin Prant
Ramban , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Ramgarh , Jharkhand , Jharkhand Prant
Rampur , Uttar Pradesh , UP-Meerut Prant
Ranchi , Jharkhand , Jharkhand Prant
Ranga Reddy , Telangana , Telangana Prant
Ranipet , Tamil Nadu , TN-Uttar Prant
Ratlam , Madhya Pradesh , MP-Malwa Prant
Ratnagiri , Maharashtra , MH-Konkan Prant
Rayagada , Odisha , OD-Pashchim Prant
Reasi , Jammu Kashmiri (UT) , Jammu Kashmir Prant - Jammu Kashmir Prant
Rewa , Madhya Pradesh , MP-Mahakaushal Prant
Rewari , Haryana , Haryana Prant
Ri Bhoi , Meghalaya , Meghalaya Prant
Rohtak , Haryana , Haryana Prant
Rohtas , Bihar , BR-Dakshin Prant
